Designator,Mid X,Mid Y,Rotation,Layer
R60,36.63,-79.155,0.0,top
R61,36.63,-81.655,0.0,top
R62,36.63,-84.155,0.0,top
R63,36.63,-86.655,0.0,top
R64,36.63,-89.155,0.0,top
R65,36.63,-91.655,0.0,top
R66,36.63,-94.155,0.0,top
R67,51.5,-120.25,90.0,top
R68,54.25,-120.25,90.0,top
R69,57.0,-120.275,90.0,top
R7,147.75,-31.88,270.0,top
R70,59.75,-120.275,90.0,top
R71,62.5,-120.275,90.0,top
R72,65.25,-120.25,90.0,top
R73,68.0,-120.25,90.0,top
R74,70.75,-120.25,90.0,top
R75,73.5,-120.25,90.0,top
R76,36.44,-212.5,0.0,top
R77,36.38,-210.0,0.0,top
R78,36.38,-207.5,0.0,top
R79,36.38,-205.0,0.0,top
R8,150.75,-31.88,270.0,top
R80,36.38,-222.5,0.0,top
R81,36.32,-220.0,0.0,top
R82,36.38,-217.5,0.0,top
R83,36.38,-215.0,0.0,top
R84,51.5,-236.0,270.0,top
R85,44.0,-236.0,270.0,top
R86,29.75,-234.5,0.0,top
R87,29.75,-246.25,0.0,top
R88,214.43,-42.3,270.0,top
R89,217.58,-42.3,270.0,top
R9,123.2,-290.15,0.0,top
R90,220.73,-42.3,270.0,top
R91,223.88,-42.3,270.0,top
R92,227.03,-42.3,270.0,top
R93,230.18,-42.3,270.0,top
R94,233.33,-42.3,270.0,top
R95,236.48,-42.3,270.0,top
R96,234.23,-200.67,0.0,top
R97,244.73,-200.67,0.0,top
R98,200.04,-248.37,180.0,top
R99,200.04,-245.22,180.0,top
RV1,39.18,-23.095,180.0,top
SW1,52.93,-20.845,0.0,top
SW2,74.18,-23.095,0.0,top
SW3,57.5,-86.12,90.0,top
SW4,37.92,-197.37,90.0,top
SW5,33.0,-231.0,0.0,top
SW6,29.75,-238.75,0.0,top
SW7,29.75,-301.75,0.0,top
U1,89.305,-33.645,90.0,top
U10,164.78,-196.845,180.0,top
U11,176.105,-181.22,90.0,top
U12,176.105,-198.22,90.0,top
U13,175.98,-134.54,90.0,top
U14,175.98,-152.04,90.0,top
U15,164.78,-149.845,180.0,top
U16,204.28,-134.54,90.0,top
U17,204.325,-151.99,90.0,top
U18,109.2,-130.575,0.0,top
U19,61.51,-128.4,0.0,top
U2,89.305,-48.645,90.0,top
U20,109.2,-103.155,0.0,top
U21,109.2,-73.375,0.0,top
U22,101.0,-121.03,180.0,top
U23,100.8,-91.125,180.0,top
U24,37.2,-136.125,0.0,top
U25,37.38,-164.46,0.0,top
U26,99.0,-231.16,180.0,top
U27,79.08,-212.38,270.0,top
U28,78.78,-227.38,270.0,top
U29,156.98,-41.56,0.0,top
U3,89.35,-63.645,90.0,top
U30,175.905,-65.785,90.0,top
U31,175.905,-48.785,90.0,top
U32,222.355,-216.22,90.0,top
U33,197.905,-216.22,90.0,top
U34,244.18,-216.22,90.0,top
U35,222.28,-242.66,90.0,top
U36,164.58,-250.095,180.0,top
U37,172.48,-211.06,0.0,top
U38,164.78,-226.295,180.0,top
U39,91.38,-272.0,0.0,top
U4,35.38,-46.645,90.0,top
U40,91.38,-244.0,0.0,top
U41,44.25,-308.25,90.0,top
U42,37.3,-290.62,90.0,top
U43,62.625,-290.62,90.0,top
U44,39.375,-325.05,90.0,top
U45,39.5,-344.62,90.0,top
U46,23.33,-388.75,90.0,top
U47,23.17,-371.74,90.0,top
U48,66.83,-388.62,90.0,top
U49,66.555,-371.875,90.0,top
U5,52.38,-46.645,90.0,top
U50,110.33,-388.62,90.0,top
U51,110.38,-372.0,90.0,top
U52,233.355,-138.22,90.0,top
U53,233.355,-123.22,90.0,top
U54,160.28,-268.42,90.0,top
U55,194.985,-325.24,90.0,top
U56,194.9,-309.42,90.0,top
U57,187.44,-268.42,90.0,top
U58,222.855,-325.22,90.0,top
U59,195.28,-292.42,90.0,top
U6,70.38,-46.645,90.0,top
U60,164.78,-315.845,180.0,top
U61,183.98,-302.42,180.0,top
U62,183.98,-328.42,180.0,top
U63,164.78,-360.345,180.0,top
U64,173.73,-345.04,90.0,top
U65,173.73,-360.54,90.0,top
U7,164.6,-108.625,180.0,top
U8,175.98,-93.04,90.0,top
U9,176.105,-110.42,90.0,top
